rainfall,runoff
1.08,331
5.06,331
9.99,336
0,347
0,366
0,394
0,498
0,552
0.864,625
0,715
0,821
0.933,939
0,1.07E+03
0,1.20E+03
0.183,1.34E+03
0,1.47E+03
0.198,1.59E+03
0,1.69E+03
0,1.77E+03
0,1.82E+03
0,1.85E+03
0,1.86E+03
11.8,1.84E+03
5.13,1.82E+03
0,1.78E+03
0,1.72E+03
11.1,1.68E+03
14,1.64E+03
14.8,1.62E+03
5.51,1.62E+03
0.088,1.54E+03
14.2,1.49E+03
14.5,1.45E+03
13.6,1.41E+03
1.22,1.35E+03
0.815,1.30E+03
13.3,1.30E+03
13.6,1.24E+03
13.5,1.22E+03
3.77,1.18E+03
11.2,1.15E+03
6.92,1.13E+03
3.3,1.10E+03
0.425,1.07E+03
0.09,1.05E+03
3.61,1.03E+03
1.24,1.01E+03
13.2,1.00E+03
0.583,974
13.3,891
15.4,1.05E+03
0.357,907
4.13,885
1.05,860
4.66,849
13.8,882
2.26,853
6.57,842
9.21,844
10.8,843
10,1.16E+03
10.7,972
8.96,946
10.2,980
7.26,947
6.84,1.02E+03
6.45,1.02E+03
3.04,969
8.73,1.03E+03
8.08,1.01E+03
10.8,1.04E+03
8.8,1.06E+03
6.16,1.21E+03
8.19,1.24E+03
13.5,1.35E+03
7.82,1.30E+03
9.31,1.47E+03
8.22,1.42E+03
8.35,1.73E+03
8.54,1.59E+03
11.7,1.58E+03
12.3,1.60E+03
5.39,1.58E+03
6.63,1.57E+03
4.27,1.69E+03
10,1.99E+03
9.43,1.92E+03
6.69,1.87E+03
0,1.78E+03
10.4,1.85E+03
0,1.75E+03
0,1.68E+03
0,1.63E+03
0,1.58E+03
12.8,1.56E+03
0,1.50E+03
0.044,1.44E+03
16,1.48E+03
17.4,1.67E+03
0,1.55E+03
0,1.48E+03
0,1.41E+03
0,1.35E+03
0,1.30E+03
16.2,1.31E+03
0,1.27E+03
11.9,1.34E+03
13.6,1.47E+03
14,1.63E+03
0,1.55E+03
0,1.48E+03
0.359,1.42E+03
0,1.36E+03
1.76,1.30E+03
0,1.25E+03
0.122,1.12E+03
0,1.08E+03
14.9,1.10E+03
0,1.06E+03
6.1,1.06E+03
0,1.02E+03
0,994
6.1,971
0,949
4.52,928
4.66,910
0,892
0,873
0,856
0,838
0,821
0,804
0.684,787
0,771
0.8,756
0,740
0,724
0,708
0,693
0,678
0,663
0,648
0,634
0,620
6.72,606
0,593
0,580
3,567
0,554
0,543
0,530
0,519
0,508
0.01,497
0,486
0,475
0,465
0,454
0,444
0,434
0,425
0,412
0,399
0,388
0,376
0,366
0.424,355
0,346
0,336
0,326
0,317
0,309
0,301
0,292
0,285
0.269,277
0,270
0,257
0,248
2.21,240
0,232
0,224
0,216
0,210
0.316,203
0,196
0.303,190
10.9,188
0,182
8.65,178
0.28,173
0,169
0,164
3.54,160
0,155
1.56,152
0,147
1.37,144
1.55,140
0,136
0,133
0,129
0.64,126
0,122
0,119
0,115
3.18,112
0,109
3,106
0,103
0,100
0,97.2
0,95
0,92.4
0,90.1
0,88
9.07,85.7
0,83.7
0,81.7
0.608,79.7
0,78
0,76.4
3.57,74.4
0,72.8
0,71.5
0,69.8
1.32,68.3
0,67
0,65.7
2.21,64.1
1.07,62.9
7.35,61.8
8.9,60.7
0,59.5
0,58.1
0.355,57.1
1.54,55.8
0,54.6
0,53.8
0,52.8
0,51.6
2.93,50.7
0.873,50
0.128,48.7
9.72,54.9
0,50.1
0.028,48.5
0.315,47.4
0,46.3
0,45.5
0,44.3
0,43.6
3.19,42.7
9.39,42.1
4.36,41.5
0.204,40.6
10.1,40
0,39.3
0.838,38.7
10.1,38.1
0,37.5
2.13,37
9.57,36.3
0,36
8.58,35.4
0.138,35
0.38,34.4
0,33.9
8.51,33.6
0.196,33.1
0,32.8
0,32.4
1.09,32.1
1.96,31.7
1.61,31.6
0.03,31.1
0.441,30.8
0.153,30.8
1.53,30.5
0.628,30.5
1.64,30.5
0.902,30.3
0,30.4
2.5,30.3
0,30.4
0.023,30.6
0,30.6
0.407,30.9
6.99,31
0.401,31.3
0.009,31.7
0,31.8
0.594,32.5
2.44,32.9
0.424,33.7
9.08,34.9
0.338,35.8
7.77,37
4.45,38.3
0.509,39.9
3.13,41.6
0.067,43.6
7.61,46.6
2.35,49.7
0.185,52.9
2.92,56.7
0.178,60.5
2.97,65.2
2.44,69.9
1.78,74.9
2.78,80.5
0,86
2.69,91.8
0.182,97.5
0.311,104
0.171,110
1.12,116
0.23,122
0.172,129
2.19,135
0,141
0.105,146
0,152
1.66,157
0,161
1.67,165
0.134,169
1.24,172
0.356,175
1.67,177
1.27,179
0.217,181
0.088,183
5.72,185
0.565,187
3.59,190
0,194
0.102,199
1.62,206
0.065,214
0.076,224
4.81,236
0.292,250
4.47,264
0,279
3.31,295
0.767,310
0,323
0,335
1.37,345
0,353
3.24,358
4.64,362
0,362
0.091,362
1.78,361
2.88,358
0.41,354
5.96,349
5.19,343
1.72,337
0,330
0,324
9.58,318
0,313
0,308
1.18,305
12.1,307
0,306
10.8,310
0,314
0,323
0,334
0,351
7.39,376
0,410
9.35,533
0,596
0,680
0.143,779
0,891
0.324,1.01E+03
0,1.13E+03
1.32,1.25E+03
0,1.36E+03
0.901,1.46E+03
0,1.54E+03
0,1.59E+03
8.89,1.63E+03
0,1.64E+03
0,1.63E+03
0.018,1.60E+03
3.33,1.57E+03
2.66,1.53E+03
0.771,1.49E+03
2.68,1.44E+03
0.236,1.40E+03
12.6,1.36E+03
2.69,1.32E+03
2.53,1.28E+03
3.42,1.25E+03
12.3,1.23E+03
7.28,1.20E+03
3.63,1.17E+03
3.32,1.14E+03
4.23,1.13E+03
5.05,1.14E+03
3.79,1.11E+03
3.02,1.08E+03
13.6,1.06E+03
5.41,1.05E+03
13.5,1.04E+03
13.1,1.01E+03
4.68,980
0,873
14.7,968
13.4,867
14.1,862
12.3,859
0,844
0.116,834
10.5,867
10.4,845
10.7,839
6.17,825
6.8,819
6.24,808
9.05,800
8.21,800
2.27,792
12.5,794
6.68,796
9.98,813
9.64,888
6.81,869
8.9,875
10.4,902
9.4,942
5.46,995
6.68,1.00E+03
3.66,1.01E+03
3.41,1.03E+03
5.88,1.03E+03
8.91,1.05E+03
6.26,1.06E+03
6.75,1.08E+03
0.114,1.07E+03
10.4,1.08E+03
9.54,1.25E+03
8.94,1.36E+03
7.08,1.34E+03
0.169,1.30E+03
2.42,1.27E+03
0,1.24E+03
0,1.21E+03
0.232,1.10E+03
2.54,1.07E+03
0.075,1.06E+03
13.3,1.07E+03
6.94,1.25E+03
14.8,1.30E+03
0.219,1.22E+03
14.8,1.37E+03
0,1.27E+03
13.8,1.35E+03
12.4,1.46E+03
0.074,1.37E+03
11.9,1.48E+03
0,1.38E+03
14.9,1.47E+03
15.6,1.66E+03
11.4,1.76E+03
0.076,1.63E+03
0.001,1.56E+03
13.6,1.62E+03
0.698,1.54E+03
0.001,1.49E+03
0.167,1.45E+03
0.085,1.41E+03
15.6,1.42E+03
0,1.38E+03
14.6,1.48E+03
0,1.41E+03
0,1.37E+03
0,1.33E+03
0,1.30E+03
0,1.27E+03
0,1.23E+03
0,1.20E+03
0,1.17E+03
4.21,1.06E+03
0.865,1.03E+03
0,1.01E+03
0,988
0,968
0.675,946
0,923
0,899
0,875
0,850
0.38,826
0,802
0.329,779
8.97,767
0.179,741
0,719
0.811,698
0,679
0.297,660
0.875,642
0,625
0.76,608
0,592
0,577
0.295,562
1.22,549
0,535
1.5,522
1.23,510
1.21,497
0,485
1.68,474
0.889,463
1.46,452
4.69,442
1.52,431
0,420
0,409
0,399
0,388
0.618,379
0,369
0,360
0,348
0,340
0,331
0,323
0,315
1.12,307
0,300
0,292
0,279
0,270
0,261
3.61,252
0,245
0,237
1.2,230
0.287,223
1.33,216
0.322,210
1.95,203
1.79,197
0,192
0,186
0,181
0,176
0,171
0,166
0,161
0,157
0,152
0,148
0,143
0,139
0,135
0,132
0,128
0,123
0,119
8.88,116
0,112
9.41,120
0,111
10.9,143
0,122
0,116
1.13,112
0.709,108
2.08,105
0,101
0.25,98.1
10.4,95.7
0,93
8.94,90.5
0,88.4
9.63,86.3
0,84.7
0,82.8
0,81.2
0,79.3
0,78
9.36,76.7
0.075,75.1
8.34,74
0,72.8
0,71.5
0,70.3
1.09,69.3
0.536,68.1
0,67.2
1.13,66.1
0.196,65
0,64.1
0,63.2
0.962,62.3
8.76,61.3
0.409,60.2
0.075,59.6
0.181,58.4
0.246,57.7
1.04,56.8
0.212,56
0.091,55
0.111,54.3
2.9,53.2
5.38,52.3
0.114,51.5
9.58,50.7
0.03,50.1
0.365,49.3
0.012,48.3
0.764,47.7
0.019,47
0,46.2
0,45.6
0,44.8
10,44.4
0,43.7
0.156,43.1
0,42.4
0.094,41.9
0.121,41.2
0.19,40.8
0.117,40.1
9.29,39.9
0,39.6
7.65,39.3
0.986,39
0,38.7
0.27,38.4
0,38.3
2.68,38.4
0,38.4
2.83,38.3
1.57,38.5
2.15,38.8
1.4,38.9
2.77,39.2
1.21,39.7
0.332,39.9
0.264,40.5
0,41
0,41.5
10.1,42.3
0,42.8
0.509,43.8
0,44.5
1.54,45.5
0,46.7
4.4,47.7
5.05,49
0.63,50.4
7.44,51.6
7.69,53
0.15,54.5
7.21,55.9
0.301,57.4
1.02,59
0.324,60.8
0.253,62.8
0.644,65.7
0.394,68.5
0,72.1
0.966,76.5
0.817,81.4
0.167,87.3
0.305,93.8
0.245,101
0.551,108
0.298,116
0,124
0.156,133
0,142
0.897,150
0.556,159
0,167
0.216,175
0,182
0,189
0,196
0,201
0,206
1.89,210
0,213
0.395,216
0,218
0.769,220
4.29,220
0.27,221
4.29,222
3.96,222
0,223
3.67,225
0,227
0,230
5.3,234
0,239
3.31,244
5.27,250
0,257
0.181,263
0,270
0.144,276
2.35,282
0.046,288
2.63,294
0.244,299
3.04,303
5.01,306
0.054,308
0.24,310
0.165,310
1.1,310
3.84,310
0,309
12.6,314
0,313
0.143,315
2.6,321
0,329
2.46,345
0,368
13.7,411
0,533
0,594
0,673
5.07,764
0.156,865
0,969
1.86,1.07E+03
2.12,1.17E+03
1.55,1.25E+03
0,1.32E+03
2.11,1.38E+03
0.143,1.41E+03
0,1.43E+03
9.23,1.44E+03
0,1.44E+03
11.7,1.45E+03
0,1.42E+03
12.7,1.47E+03
0,1.41E+03
0,1.37E+03
0,1.34E+03
0,1.30E+03
13.9,1.30E+03
14.3,1.28E+03
14.6,1.26E+03
14.1,1.31E+03
11.5,1.25E+03
2.7,1.21E+03
14.9,1.21E+03
4.12,1.20E+03
14,1.24E+03
12,1.21E+03
13.1,1.24E+03
12.9,1.30E+03
3.63,1.30E+03
13.5,1.34E+03
13.9,1.42E+03
8.65,1.48E+03
14.3,1.52E+03
14.2,1.60E+03
3.32,1.58E+03
2.71,1.56E+03
2.23,1.56E+03
2.96,1.55E+03
4.14,1.54E+03
1.89,1.52E+03
13.3,1.52E+03
12.3,1.56E+03
10.6,1.61E+03
2.86,1.51E+03
3.33,1.46E+03
3.06,1.41E+03
3.33,1.36E+03
2.75,1.32E+03
10.2,1.28E+03
9.55,1.26E+03
6.91,1.26E+03
7.58,1.26E+03
6.85,1.33E+03
6.38,1.36E+03
8.66,1.48E+03
6.63,1.42E+03
7.04,1.44E+03
10.3,1.43E+03
10,1.42E+03
5.24,1.44E+03
5.89,1.45E+03
11.5,1.64E+03
12.7,1.57E+03
11.1,1.59E+03
5.61,1.58E+03
6.81,1.56E+03
12.2,1.67E+03
9.59,1.87E+03
8.07,1.84E+03
13.8,1.95E+03
5.95,1.98E+03
5.65,2.08E+03
9.05,2.04E+03
8.9,2.17E+03
8.92,2.15E+03
10.7,2.17E+03
4.88,2.10E+03
4.99,2.14E+03
13.1,2.24E+03
0.001,2.12E+03
1.44,2.05E+03
0.068,1.99E+03
12.2,2.03E+03
0.002,1.96E+03
13.5,2.09E+03
0.077,1.98E+03
14,2.07E+03
0.073,1.96E+03
0,1.88E+03
0.218,1.80E+03
0,1.72E+03
14.7,1.74E+03
0.049,1.65E+03
0,1.58E+03
7.59,1.66E+03
0,1.57E+03
0.001,1.50E+03
0,1.34E+03
0.001,1.28E+03
0.001,1.24E+03
0,1.21E+03
0.26,1.17E+03
0,1.14E+03
0.076,1.10E+03
0,1.07E+03
10.1,1.05E+03
0,1.01E+03
0,982
0,953
0,925
0,899
0,874
0,849
0,826
0,804
0,782
0,761
0.106,741
0,722
0.105,702
0,684
0.107,667
0,649
0,632
0,616
0,600
0,585
0,570
0,556
0,542
0,528
0,516
0,502
0,488
0,474
3.02,460
1.04,448
1.39,435
0,418
0.491,406
0,394
0,383
0,374
0,363
0,354
0,344
0,335
0.09,326
0,318
0,302
0,291
0,281
0,273
0,264
0,256
0,248
0,241
0,234
0,226
0.722,219
0,213
0,206
0,199
0.01,193
0,187
0,181
0,175
0,170
0,165
12.3,168
0,161
0,156
0,151
0,146
0,142
0.143,137
0,133
0,128
0,124
0,120
0,117
0,113
0,110
0,107
6.79,104
0,101
0,98.2
0,95.6
0,93.4
0,90.9
0,88.7
0,86.6
0,84.2
0,82.3
0,80.1
0,78.2
0,76.5
0,74.4
0.065,72.9
0,71.2
0,69.5
0,68
1.97,66.2
0.939,65.1
1.79,63.6
0.963,61.9
0,60.7
0,59.4
0,57.8
0,56.6
0,55.4
0.22,54
1.23,52.8
0,51.7
0,50.7
0,49.7
0,48.3
0,47.5
0,46.4
0.309,45.5
0,44.5
0,43.5
0,42.7
0,41.7
0,41.1
0.291,40.1
0,39.3
3.68,38.5
3.7,37.7
0,37
0,36.3
0.926,35.5
2.21,34.7
0.158,34.1
0.16,33.4
0.142,32.9
0.221,32.2
0.088,31.4
8.55,30.8
2.69,30.3
0.192,29.8
1.2,29.1
8.51,28.5
0.063,28.1
0.073,27.6
0.097,27
0.177,26.6
9.7,26.7
0.182,26.2
0.257,25.9
0.998,25.5
0.161,25
0.208,24.6
1.7,24.1
1.07,23.6
0.102,23.3
1.29,23
0,22.6
10.3,22.8
0.047,22.2
0.46,21.9
3.99,21.5
7.59,22.1
4.04,21.2
0.475,20.8
5.86,20.6
0.49,20.2
0.885,20.1
1.02,19.8
0.406,19.6
0,19.7
0,19.4
0,19.4
6.97,19.3
0.661,19.3
8.79,19.5
8.11,19.7
10.3,20.2
0,20.4
0.329,20.9
0,21.2
0,21.9
0,22.5
0,23
0,23.7
0,24.4
0.167,25.2
4.33,26
0.962,26.7
4.24,27.7
0.425,28.5
0,29.3
1.36,30.2
0.366,31.1
0.145,32
3.79,33.1
0.374,34.3
0,35.5
1.14,36.8
5.39,38.2
2.87,39.9
0.335,41.5
0.143,43.5
0.112,45.4
2.78,47.4
5.5,49.5
1.98,52
4.47,54.6
0.248,57.2
4.47,59.9
0.197,62.8
0,65.8
0.533,68.6
2.9,71.6
0.072,74.4
0.178,77.5
0,80.2
5.22,83.6
0.914,86.5
0.424,89.6
0.273,92.6
2.92,95.8
0,99
0,102
0,106
4.77,110
0,114
0.474,119
0,124
0,131
1.19,138
0.504,145
0.086,153
0.111,162
0.107,170
2.74,178
1.22,187
4.97,194
2.82,201
0.285,207
0.143,212
0,217
2.1,220
5.83,223
0.13,224
0.321,225
5.58,226
0.113,225
0.366,224
0,223
6.04,221
0,219
9.28,221
0,218
0,218
9.72,219
0,223
11.4,233
8.73,248
0,272
0.142,307
9.93,359
0,500
10.1,589
0,692
10.6,803
0,914
0,1.02E+03
9.77,1.12E+03
11.6,1.20E+03
10.3,1.25E+03
14.3,1.29E+03
0,1.32E+03
0,1.33E+03
11.4,1.38E+03
0,1.35E+03
0,1.32E+03
9.54,1.30E+03
0,1.26E+03
0,1.23E+03
0,1.19E+03
11.1,1.20E+03
0.025,1.14E+03
1.33,1.10E+03
0.165,1.06E+03
15.4,1.05E+03
0.041,1.01E+03
13.3,1.04E+03
0.184,988
2.77,875
0.457,853
1.78,840
14.9,1.03E+03
12.9,903
11.5,862
10.8,855
14.4,856
2.23,821
12.9,826
12.7,826
3.79,807
2.56,796
12.4,849
15.2,1.02E+03
5.62,937
2.91,901
12.3,949
4.16,916
13.6,1.14E+03
13.7,1.18E+03
3.57,1.03E+03
14.7,1.34E+03
13.7,1.40E+03
10.1,1.42E+03
0.48,1.31E+03
9.48,1.40E+03
0.335,1.30E+03
7.08,1.32E+03
7.8,1.34E+03
8.94,1.54E+03
9.58,1.55E+03
10.1,1.71E+03
7.22,1.61E+03
6.67,1.58E+03
9.58,1.55E+03
10.3,1.62E+03
13.1,1.86E+03
5.91,1.78E+03
10.6,1.78E+03
4.7,1.76E+03
10.3,1.83E+03
9.09,1.81E+03
7.68,1.87E+03
5.08,1.81E+03
9.34,1.92E+03
0.637,1.80E+03
8.26,1.80E+03
10,1.88E+03
5.46,1.81E+03
4.54,1.75E+03
8.24,1.73E+03
8.44,1.73E+03
6.4,1.76E+03
10.4,1.90E+03
9.81,1.96E+03
16.1,2.04E+03
9.43,2.14E+03
0,1.95E+03
0.034,1.83E+03
0,1.74E+03
0.076,1.66E+03
14.9,1.66E+03
0.012,1.59E+03
16.3,1.79E+03
14.9,1.95E+03
0.07,1.82E+03
0.001,1.74E+03
14,2.04E+03
0.296,1.85E+03
0,1.74E+03
2.37,1.65E+03
1.43,1.58E+03
2.05,1.51E+03
0,1.46E+03
0,1.40E+03
0,1.36E+03
0,1.22E+03
0.31,1.19E+03
0,1.16E+03
0.062,1.14E+03
0.293,1.12E+03
0.217,1.10E+03
0.077,1.07E+03
0.072,1.04E+03
0,1.02E+03
0.096,988
0,960
0,932
0,906
0.644,879
0,853
0,827
0,803
0,778
0,755
0,732
0,710
0.291,688
0,667
0.156,647
0,628
6.73,609
0,591
0,574
0,557
0,541
0,526
0,511
9.44,496
0,483
0,470
0,457
0,441
5.56,429
0,417
0,406
0,396
0,385
0,375
0,365
0,356
0,347
3.81,336
0.01,327
0,317
0.02,307
0,298
0,283
0.421,273
0,263
0.348,254
0,246
0.323,238
0.027,230
0,223
0,216
0,209
0,203
0,197
0,191
0,186
0,180
0,175
0,171
0,166
0,162
0,158
0,153
0,149
0,145
0.078,141
0,137
0,134
0,130
4.17,126
0,122
0,118
0,115
0,111
0,108
0,105
0,102
7.29,99.1
0,96.5
0,93.6
0,91.1
0,88.6
1.13,86.3
0,84.1
0.22,81.8
0,79.6
0,77.8
8.86,75.9
0.676,74
2.18,72.2
0.52,70.6
0,68.7
0,67
0,65.7
0,64.1
0,62.5
0.316,61.4
6.75,59.9
9.09,58.7
7.5,57.4
0,56.1
0,55
0,53.6
0,52.7
0,51.6
0,50.6
1.26,49.8
0,48.7
0,47.6
0.091,47
1.16,45.9
0,45.2
0,44.2
0,43.7
0,42.9
0,42
0,41.3
0,40.8
8.58,40
0,39.2
0,38.7
